names,improved
Almost Discrete,
Dream Faster,
Boundary Condition,
Electric Dreams,
Dream Sequence,Stargaze Sequence
Mindaligned,
Imaginary Dimensions,
Myalo,
Ukiyo,
Honest Hactar,Honorable Hactar
Upside Down ventures,
ex-lore,
Applied Creativity,
Flatland,
Euphoric Vectors,
Loss Landscape,Loss Landscape painting
Frontier Engineering,
Subatomic Force,Subatomic Storm | Subatomic Strength | Subatomic Squeeze
Tiny Explorers,
Infinite Meiosis,Myriad Meiosis | Multitudinous Meiosis
Biome Squared,
Future Algorithms Club,
Loop of reason,
Infinite play,
Dreams of Complexity,
Dreams of Science,
Theory of Play,
Mindful Machines,
Machines of Play,
Machines of Creativity,
High-Dimensional Playground,High-Dimensional Holiday resort
Reverse Loop,Lift Loop
Inverse Loop,Inverse Intertwine
Dream Loop,
Experience Replay,Receive Replay
Strange Loop,
Algorithmists,
Explorious,
Algorithmic Dreams,
Scientific Dream,Scientific Stargaze
Tiny Dreams,Diminutive Dreams
Algorithmic playfulness,
Scientific loop,
Our Recursive universe,
Wonder loop,
Strange Theories,
Delightful Dimensions,Delicious Dimensions
Impossible Dimensions,
Playful Dimensions,Devilish Dimensions
Tiny Dimensions,Diminutive Dimensions
Hungry Vectors,
Mindful Vectors,
Beautiful conjectures,Comely conjectures
Parallel conjectures,Collateral conjectures | Collimate conjectures
Algorithmic Magic,
Yellow Bytes,
Deterministic Magic,Deterministic Deception
Tiny Furry Machines,
Unreasonable Machines,Mindless Machines
Strange Logic,Strange System of logic
Universal Engima,Ecumenical Engima
Pleasantly Deterministic,
Curious Functions,Funny Functions
Algorithms of Play,
Universal shortcuts,
Improvised Evidence,
Unreasonably Scientific,
Audacious Questions,
Vectors Can Dance,
Viva la algorithmic,
Atlas of the Future,
Parallel Friction,
Compact Phenomena,Press Phenomena | Pack Phenomena | Packed Phenomena | Powder compact Phenomena | Pack together Phenomena
Quintessential Complexity,
Delightful Complexity,
enchanted algorithms,
Algorithms of the Unreasonable,
Magically Deterministic,
Stochastic Intellect,
Stochastic Creatures,
Stochastic Renaissance,Random Renaissance
Undecidable beacon,
Algorithmic Canvas,
Discrete pieces,
Breakthough Movements,
Stochastic Theories,
Noble loop,Lord loop | Lofty loop | Lordly loop
Unsettled Theories,Tentative Theories
Impossible Manifolds,
Spectral Tunes,
Future Tunes,Time to come Tunes
Future Canvas,
hyper-renassaince,
inter-exploratory,
Familiar Dimensions,
Discrete Souls,Separate Souls
Isometric Souls,
Algorithmic Soul,
Isometric Collective,Cubic Collective
Algorithmic Renassiance,Recursive Renassiance
Renaissance souls,
Renaissance frontiers,
Delightful/Magical frontiers,
the algorithms store,
we got algorithms,
Magical Flow,Magical Menses | Magical Menstruation | Magical Menstruate
Wunder Algorithms,
Algorithms of Desire,
Theories of Functions,
Semi-Random,
Magical Randomness,
Magical Structures,Supernatural Structures | Sorcerous Structures
No algorithms attached,
Collective Computation,Collective Calculation
Dreams of Computation,
Soul Machines,Mortal Machines
Conjecture Machines,
Fuzzy Dream machines,
Beautiful paradigms,Pretty paradigms | Pleasant paradigms | Picturesque paradigms | Pulchritudinous paradigms | Pretty-pretty paradigms
Renaissance Hyperspace,
Genuinely recursive,Really recursive
Magical beginning,
Irreducible essence,Irreducible Inwardness
Rugged landscapes,
Algorithmic Imagination,
Parallel imagination,In parallel imagination
Hyperflow,
Long furry tails,
Magic Realm,
Throughtful Futures,
Beyond Randomness,
Beyond the Manifold,
Beyond Conjectures,
Likeminded Explorers,
Cooperative Functions,
Ephemeral Equilibrium,Ephemeral Equipoise
Thoughtful Sequence,Sensible Sequence | Serious Sequence
Thoughtful Loops,
Thoughtful Renassiance,Reflective Renassiance | Ruminative Renassiance | Reasoned Renassiance
Ephemeral Machines,
Exponential Intuition,
Intuition Landscapes,
Discrete intuition,
hyperintuition,
Connected intuitions,Intimate intuitions
Joyful intuitions,
Scientific intuitions,
Algorithmic intuitions,
Intuition Engines,
Almost Magic,Most Magic
Intertwined Vertices,
Mysterious Epochs,Esoteric Epochs
Drifting Epochs,
Playful Epochs,Elfin Epochs | Elvish Epochs | Elfish Epochs
Tiny Breakthrough Machines,
Hyper-relative,
Upstream flow,
Relative Manifold,
Upstream Renessaince,
Upstream Adventures,
Upstream Synthesis,
Upstream Universe,Upstream Universe of discourse
Magical Flow,Magical Menses | Magical Menstruation | Magical Menstruate
A priori,
Miru,
Vice versa,
Ipso facto,
Second Thoughts,
Curious Algorithms,
Likeminded vectors,
Impossible Machines,
Algorithmic Conjectures,
Likeminded functions,
Stochastic Imagination,
Algorithmic Realm,Recursive Realm
