names,improved
Almost Discrete,Almost Separate | Almost Distinct
Dream Faster,Dream Quicker
Boundary Condition,Boundary Check | Boundary Train | Boundary Term | Boundary Discipline | Boundary Status
Electric Dreams,Tense Dreams | Exciting Dreams | Electrical Dreams | Galvanic Dreams | Galvanizing Dreams
Dream Sequence,Dream Episode | Dream Succession | Dream Successiveness | Dream Chronological sequence | Dream Chronological succession
Mindaligned,
Imaginary Dimensions,Notional Dimensions | Fanciful Dimensions | Unreal Dimensions | Imagined Dimensions
Myalo,
Ukiyo,
Honest Hactar,Square Hactar | Open Hactar | True Hactar | Straight Hactar | Reliable Hactar
Upside Down ventures,
ex-lore,
Applied Creativity,Applied Creativeness
Flatland,
Euphoric Vectors,Happy Vectors | Expansive Vectors | Euphoriant Vectors
Loss Landscape,Loss Landscape painting
Frontier Engineering,Frontier Technology | Frontier Applied science | Frontier Engineering science | Frontier Engine room
Subatomic Force,Subatomic Effect | Subatomic Run | Subatomic Drive | Subatomic Power | Subatomic Draw
Tiny Explorers,Little Explorers | Small Explorers | Diminutive Explorers | Petite Explorers | Midget Explorers
Infinite Meiosis,Infinite Litotes | Infinite Reduction division
Biome Squared,Biome Square
Future Algorithms Club,
Loop of reason,
Infinite play,Infinite Run | Infinite Bid | Infinite Work | Infinite Act | Infinite Bring
Dreams of Complexity,
Dreams of Science,
Theory of Play,
Mindful Machines,Aware Machines | Redolent Machines | Evocative Machines | Careful Machines | Reminiscent Machines
Machines of Play,
Machines of Creativity,
High-Dimensional Playground,High-Dimensional Resort | High-Dimensional Vacation spot | High-Dimensional Holiday resort
Reverse Loop,Reverse Circuit | Reverse Coil | Reverse Curl | Reverse Grommet | Reverse Intertwine
Inverse Loop,Inverse Circuit | Inverse Coil | Inverse Curl | Inverse Grommet | Inverse Intertwine
Dream Loop,Dream Circuit | Dream Coil | Dream Curl | Dream Grommet | Dream Intertwine
Experience Replay,Experience Rematch | Experience Action replay | Experience Play back
Strange Loop,Strange Circuit | Strange Coil | Strange Curl | Strange Grommet | Strange Intertwine
Algorithmists,
Explorious,
Algorithmic Dreams,Recursive Dreams
Scientific Dream,Scientific Daydream | Scientific Aspiration | Scientific Ambition | Scientific Stargaze | Scientific Pipe dream
