names,improved
Almost Discrete,Almost Discrete
Dream Faster,Dream Faster
Boundary Condition,Boundary Condition
Electric Dreams,Electric Dreams
Dream Sequence,Dream Sequence
Mindaligned,Mindaligned
Imaginary Dimensions,Imaginary Dimensions
Myalo,Myalo
Ukiyo,Ukiyo
Honest Hactar,Honest Hactar
Upside Down ventures,Upside Down ventures
Applied Creativity,Applied Creativity
Flatland,Flatland
Euphoric Vectors,Euphoric Vectors
Loss Landscape,Loss Landscape
Frontier Engineering,Frontier Engineering
Subatomic Force,Subatomic Force
Tiny Explorers,Tiny Explorers
Infinite Meiosis,Infinite Meiosis
Biome Squared,Biome Squared
Future Algorithms Club,Future Algorithms Club
Loop of reason,Loop of reason
Infinite play,Infinite play
Dreams of Complexity,Dreams of Complexity
Dreams of Science,Dreams of Science
Theory of Play,Theory of Play
Mindful Machines,Mindful Machines
Machines of Play,Machines of Play
Machines of Creativity,Machines of Creativity
High-Dimensional Playground,High-Dimensional Playground
Reverse Loop,Reverse Loop
Inverse Loop,Inverse Loop
Dream Loop,Dream Loop
Experience Replay,Experience Replay
Strange Loops,Strange Loops
Algorithmists,Algorithmists
Explorious,Explorious
Algorithmic Dreams,Algorithmic Dreams
Scientific Dream,Scientific Dream
Tiny Dreams,Tiny Dreams
Algorithmic playfulness,Algorithmic playfulness
Scientific loop,Scientific loop
Our Recursive universe,Our Recursive universe
Wonder loop,Wonder loop
Strange Theories,Strange Theories
Delightful Dimensions,Delightful Dimensions
Impossible Dimensions,Impossible Dimensions
Playful Dimensions,Playful Dimensions
Tiny Dimensions,Tiny Dimensions
Hungry Vectors,Hungry Vectors
Mindful Vectors,Mindful Vectors
Beautiful conjectures,Beautiful conjectures
Parallel conjectures,Parallel conjectures
Algorithmic Magic,Algorithmic Magic
Yellow Bytes,Yellow Bytes
Deterministic Magic,Deterministic Magic
Tiny Furry Machines,Tiny Furry Machines
Unreasonable Machines,Unreasonable Machines
Strange Logic,Strange Logic
Universal Engima,Universal Engima
Pleasantly Deterministic,Pleasantly Deterministic
Curious Functions,Curious Functions
Algorithms of Play,Algorithms of Play
Universal shortcuts,Universal shortcuts
Improvised Evidence,Improvised Evidence
Unreasonably Scientific,Unreasonably Scientific
Audacious Questions,Audacious Questions
Vectors Can Dance,Vectors Can Dance
Viva la algorithmic,Viva la algorithmic
Atlas of the Future,Atlas of the Future
Parallel Friction,Parallel Friction
Compact Phenomena,Compact Phenomena
Quintessential Complexity,Quintessential Complexity
Delightful Complexity,Delightful Complexity
enchanted algorithms,enchanted algorithms
Algorithms of the Unreasonable,Algorithms of the Unreasonable
Magically Deterministic,Magically Deterministic
Stochastic Intellect,Stochastic Intellect
Stochastic Creatures,Stochastic Creatures
Stochastic Renaissance,Stochastic Renaissance
Undecidable beacon,Undecidable beacon
Quantum Monkeys,Quantum Monkeys
Algorithmic Canvas,Algorithmic Canvas
Discrete pieces,Discrete pieces
Breakthough Movements,Breakthough Movements
Stochastic Theories,Stochastic Theories
The Noble loop,The Noble loop
Unsettled Theories,Unsettled Theories
Impossible Manifolds,Impossible Manifolds
Spectral Tunes,Spectral Tunes
Future Tunes,Future Tunes
Future Canvas,Future Canvas
hyper-renassaince,hyper-renassaince
inter-exploratory,inter-exploratory
inter-deterministic,inter-deterministic
Familiar Dimensions,Familiar Dimensions
Vector Souls,Vector Souls
Discrete Souls,Discrete Souls
Isometric Souls,Isometric Souls
Algorithmic Soul,Algorithmic Soul
Isometric Collective,Isometric Collective
Algorithmic Renassiance,Algorithmic Renassiance
Renaissance souls,Renaissance souls
Renaissance frontiers,Renaissance frontiers
Magical frontiers,Magical frontiers
the algorithms store,the algorithms store
we got algorithms ,we got algorithms 
Magical Flow,Magical Flow
Wunder Algorithms,Wunder Algorithms
Algorithms of Desire,Algorithms of Desire
Theories of Functions,Theories of Functions
Semi-Random,Semi-Random
Magical Randomness,Magical Randomness
Magical Structures,Magical Structures
